date,max_temp,min_temp
2026-07-13,18.4,11.0
2026-07-14,17.1,10.1
2026-07-15,23.7,10.3
2026-07-16,21.8,9.5
2026-07-17,20.0,9.0
2026-07-18,19.1,8.4
2026-07-19,20.7,7.3
